Campaign report,,,,,,,,,,,,,
"June 9, 2026 - June 15, 2026",,,,,,,,,,,,,
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Cost,Impr.,Clicks,Add to cart,Purchase,Revenue
Enabled,4040 | ONN | Search Brand Traffic | Always On,150, --,Daily,THB,Eligible (Learning),bidding strategy learning,1058.34,"18,972","1,066",31.19,1,0
Enabled,4040 | ONN | Performance max | Always On,150, --,Daily,THB,Eligible,,2159.48,"30,090","8,029","1,212.26",102.44,133386
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
