Campaign report,,,,,,,,,,,,,
"June 16, 2026 - June 22, 2026",,,,,,,,,,,,,
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Cost,Impr.,Clicks,Add to cart,Purchase,Revenue
Enabled,4040 | ONN | Search Brand Traffic | Always On,150, --,Daily,THB,Eligible (Learning),bidding strategy learning,481.25,"6,012",364,1,3,0
Enabled,4040 | ONN | Performance max | Always On,150, --,Daily,THB,Eligible,,877.23,"9,275","2,804",423.28,18.17,32725
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
