Campaign report,,,,,,,,,,,,,
"May 19, 2026 - May 25, 2026",,,,,,,,,,,,,
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Cost,Impr.,Clicks,Add to cart,Purchase,Revenue
Enabled,4040 | ONN | Performance max | Always On,150, --,Daily,THB,Eligible,,6223.93,"37,944","2,505",218.41,19.46,0
Enabled,4040 | ONN | Search Brand Traffic | Always On,150, --,Daily,THB,Eligible (Learning),bidding strategy learning,6156.9,"11,662",902,14.46,2,0
