Campaign report,,,,,,,,,,,,,
"May 26, 2026 - May 31, 2026",,,,,,,,,,,,,
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Cost,Impr.,Clicks,Add to cart,Purchase,Revenue
Enabled,4040 | ONN | Search Brand Traffic | Always On,150, --,Daily,THB,Eligible (Learning),bidding strategy learning,3998.3,"12,451","1,022",35,1,0
Enabled,4040 | ONN | Performance max | Always On,150, --,Daily,THB,Eligible,,3298.51,"22,239","2,847",584.56,68,1945470
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
