Campaign report,,,,,,,,,,,,,
"July 28, 2026 - July 31, 2026",,,,,,,,,,,,,
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Cost,Impr.,Clicks,Add to cart,Purchase,Revenue
Paused,4040 | ONN | Search Brand Traffic | Always On,500, --,Daily,THB,Paused,campaign paused; limited by budget,1908.93,"12,060","1,935",115.41,8.8,105866.3
Paused,4040 | ONN | Performance max | Always On,500, --,Daily,THB,Paused,campaign paused; most asset groups limited by policy,1951.29,"28,040","3,429",260.99,30.28,539334.6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
