Campaign report,,,,,,,,,,,,,
"July 14, 2026 - July 20, 2026",,,,,,,,,,,,,
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Cost,Impr.,Clicks,Add to cart,Purchase,Revenue
Enabled,4040 | ONN | Performance max | Always On,150, --,Daily,THB,Eligible,,0,0,0,0,0,0
Enabled,4040 | ONN | Search Brand Traffic | Always On,150, --,Daily,THB,Eligible (Learning),bidding strategy learning,0,0,0,0,0,0
