"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"ผ่อนทอง 0% June 2026",3773.44118208,118594,298093,3620,3512,17,1,1146,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"ผ่อนทอง 0% June 2026",2902.8762873,100012,230464,3004,2890,19,2,32290,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Gems of The Day  21- 30 Jun 26",1642.65425393,16654,43421,196,145,60,11,517293,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"Gems of The Day  21- 30 Jun 26",1475.84258423,15630,33090,182,148,42,6,117596,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"Gems of The Day  21- 30 Jun 26",1292.69226353,16368,35117,181,135,52,5,116000,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Gems of The Day  21- 30 Jun 26",1151.56298216,14109,36004,170,124,48,5,65133,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"Gems of The Day  21- 30 Jun 26",1041.00076952,15998,30665,116,92,30,3,72499,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"Gems of The Day  21- 30 Jun 26",966.8400023,17725,34986,141,87,37,2,13239,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"Gems of The Day  21- 30 Jun 26",909.50159256,8567,16401,124,106,15,4,101851,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"ผ่อนทอง 0% June 2026",700.21081795,42187,61348,764,735,2,,,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,35-44,"ผ่อนทอง 0% June 2026",667.08125239,41262,57790,732,720,19,,,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,45-54,"ผ่อนทอง 0% June 2026",652.00119769,23079,50584,667,651,11,,,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,35-44,"ผ่อนทอง 0% June 2026",615.05226322,24292,50811,657,635,8,,,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"ผ่อนทอง 0% June 2026",606.07252217,23809,49139,646,623,9,,,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"Gems of The Day  21- 30 Jun 26",536.43554962,7341,13910,62,46,10,1,2375,2026-06-23,2026-06-29
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",female,35-44,"Pay Day 25-30 June 2026",453.91047492,8024,14671,325,261,114,5,666068,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,25-34,"Gems of The Day  21- 30 Jun 26",432.93075807,8743,16526,61,33,9,1,1038,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,female,65+,"Test - Branding - เปลี่ยนโอากาสพิเศษ",423.53589825,6801,18938,369,308,,,,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"Gems of The Day  21- 30 Jun 26",406.88105369,4377,10186,55,38,5,,,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,35-44,"Gems of The Day  21- 30 Jun 26",402.74070521,7162,13918,52,37,12,,,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,25-34,"Gems of The Day  21- 30 Jun 26",373.17386062,9334,16306,32,22,9,3,75401,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,female,25-34,"Test - Service - ทองแท้ 96.5",354.34610244,12982,16959,159,134,1,,,2026-06-23,2026-06-29
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",female,45-54,"Pay Day 25-30 June 2026",352.64259998,5309,9664,252,231,37,1,33829,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,female,25-34,"Test - Trust - ช่องทางชำระเงิน",335.9522755,10606,14630,118,103,1,,,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"Gems of The Day  21- 30 Jun 26",328.73340086,7315,13253,39,23,10,,,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,25-34,"Test - Service - ทองแท้ 96.5",317.84547383,11575,16263,129,115,3,,,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,female,25-34,"Test - Service - ซื้อทองออนไลน์อย่างมั่นใจ",315.32808616,11630,14733,124,116,,,,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,55-64,"Gems of The Day  21- 30 Jun 26",311.74054586,2769,4714,59,36,4,,,2026-06-23,2026-06-29
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",female,25-34,"Pay Day 25-30 June 2026",309.81349872,7383,12250,235,183,78,12,48844,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,25-34,"Test - Trust - ช่องทางชำระเงิน",296.11200565,9919,14431,121,113,,,,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,25-34,"Test - Trust - AURORA มั่นใจ มาตรฐานระดับโลก!",293.94637614,10210,15021,135,124,,,,2026-06-23,2026-06-29
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,25-34,"Test - Service - ซื้อทองออนไลน์อย่างมั่นใจ",291.17746685,10935,15024,122,115,,,,2026-06-23,2026-06-29
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"Aurora Mid Year Gold Sale  25- 30 Jun 26",288.06637275,5080,6872,146,123,30,,,2026-06-23,2026-06-29
