"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"job:DM26_0116-moj:Conversion-cpg:AWO-cpn:ADHOC Campaign-aus:New","geo:TH-age:25_54-gdr:All-plm:All-aud:Interest Investment and Gold",female,35-44,"adn:ผ่อนทองแผ่น   0% นาน 6 เดือน ฟรีค่าธรรมเนียม-adf:Single",1156.18444953,13865,23343,195,180,58,3,26327,2026-08-25,2026-08-31
"job:DM26_0116-moj:Conversion-cpg:AWO-cpn:ADHOC Campaign-aus:New","geo:TH-age:25_54-gdr:All-plm:All-aud:Interest Investment and Gold",female,25-34,"adn:ผ่อนทองแผ่น   0% นาน 6 เดือน ฟรีค่าธรรมเนียม-adf:Single",1014.64757734,15479,24434,186,193,80,2,20548,2026-08-25,2026-08-31
"job:DM26_0116-moj:Conversion-cpg:AWO-cpn:ADHOC Campaign-aus:New",geo:TH-age:25_54-gdr:All-plm:All-aud:Lookalike,female,35-44,"adn:ผ่อนทองแผ่น   0% นาน 6 เดือน ฟรีค่าธรรมเนียม-adf:Single",970.06,10103,16719,143,140,51,,,2026-08-25,2026-08-31
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,35-44,"adn:ผ่อนทอง 0% Aug 2026.jpg-adf:Single",964.27,2829,16377,394,391,301,27,847806,2026-08-25,2026-08-31
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,geo:TH-age:25_54-gdr:All-plm:All-aud:Lookalike,female,45-54,"adn:Lifestyle _ เลือกทองเหมือนเลือกสไตล์-adf:Single",707.32,5477,8555,154,118,3,,,2026-08-25,2026-08-31
"job:DM26_0116-moj:Conversion-cpg:AWO-cpn:ADHOC Campaign-aus:New","geo:TH-age:25_54-gdr:All-plm:All-aud:Interest Investment and Gold",male,35-44,"adn:ผ่อนทองแผ่น   0% นาน 6 เดือน ฟรีค่าธรรมเนียม-adf:Single",674.07510364,8980,16181,118,110,52,2,90032,2026-08-25,2026-08-31
"job:DM26_0116-moj:Conversion-cpg:AWO-cpn:ADHOC Campaign-aus:New",geo:TH-age:25_54-gdr:All-plm:All-aud:Lookalike,female,25-34,"adn:ผ่อนทองแผ่น   0% นาน 6 เดือน ฟรีค่าธรรมเนียม-adf:Single",610.03,8035,12645,116,115,42,2,132465,2026-08-25,2026-08-31
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_54-gdr:All-plm:All-aud:Engage Page",female,35-44,"adn:บริการ Same Day Delivery-adf:Single",590.731174,5665,12789,112,79,24,,,2026-08-25,2026-08-31
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,25-34,"adn:ผ่อนทอง 0% Aug 2026.jpg-adf:Single",540.03,1927,11072,149,138,151,9,278161,2026-08-25,2026-08-31
"job:DM26_0116-moj:Conversion-cpg:AWO-cpn:ADHOC Campaign-aus:New",geo:TH-age:25_54-gdr:All-plm:All-aud:Lookalike,male,35-44,"adn:ผ่อนทองแผ่น   0% นาน 6 เดือน ฟรีค่าธรรมเนียม-adf:Single",538.27,6160,10496,55,47,20,,,2026-08-25,2026-08-31
"job:DM26_0116-moj:Conversion-cpg:AWO-cpn:ADHOC Campaign-aus:New","geo:TH-age:25_54-gdr:All-plm:All-aud:Interest Investment and Gold",female,45-54,"adn:ผ่อนทองแผ่น   0% นาน 6 เดือน ฟรีค่าธรรมเนียม-adf:Single",527.17834991,6335,9129,74,61,7,1,4898,2026-08-25,2026-08-31
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_54-gdr:All-plm:All-aud:Engage Page",female,25-34,"adn:บริการ Same Day Delivery-adf:Single",517.6359782,5831,13618,123,104,25,2,19076,2026-08-25,2026-08-31
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,45-54,"adn:ผ่อนทอง 0% Aug 2026.jpg-adf:Single",505.26,1345,8106,146,123,128,12,327672,2026-08-25,2026-08-31
"job:DM26_0116-moj:Conversion-cpg:AWO-cpn:ADHOC Campaign-aus:New",geo:TH-age:25_54-gdr:All-plm:All-aud:Lookalike,female,45-54,"adn:ผ่อนทองแผ่น   0% นาน 6 เดือน ฟรีค่าธรรมเนียม-adf:Single",486.57,4783,7211,65,55,11,,,2026-08-25,2026-08-31
"job:DM26_0116-moj:Conversion-cpg:AWO-cpn:ADHOC Campaign-aus:New","geo:TH-age:25_54-gdr:All-plm:All-aud:Interest Investment and Gold",male,25-34,"adn:ผ่อนทองแผ่น   0% นาน 6 เดือน ฟรีค่าธรรมเนียม-adf:Single",465.83970543,7257,12663,81,77,47,1,18008,2026-08-25,2026-08-31
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",female,35-44,"adn:The Memory Gold Laser  13_31 Aug-adf:Single",459.36735962,2823,9196,103,94,110,6,80257,2026-08-25,2026-08-31
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,geo:TH-age:25_54-gdr:All-plm:All-aud:Lookalike,female,35-44,"adn:Lifestyle _ เลือกทองเหมือนเลือกสไตล์-adf:Single",423.27,4305,6172,76,58,1,,,2026-08-25,2026-08-31
"job:DM26_0116-moj:Conversion-cpg:AWO-cpn:ADHOC Campaign-aus:New","geo:TH-age:25_54-gdr:All-plm:All-aud:Interest Investment and Gold",male,45-54,"adn:ผ่อนทองแผ่น   0% นาน 6 เดือน ฟรีค่าธรรมเนียม-adf:Single",392.15133386,4901,8201,60,54,9,,,2026-08-25,2026-08-31
"job:DM26_0116-moj:Conversion-cpg:AWO-cpn:ADHOC Campaign-aus:New",geo:TH-age:25_54-gdr:All-plm:All-aud:Lookalike,male,45-54,"adn:ผ่อนทองแผ่น   0% นาน 6 เดือน ฟรีค่าธรรมเนียม-adf:Single",358.78,3485,5912,43,30,7,1,18420,2026-08-25,2026-08-31
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_54-gdr:All-plm:All-aud:Engage Page",female,45-54,"adn:บริการ Same Day Delivery-adf:Single",356.25658492,2923,6010,67,45,10,,,2026-08-25,2026-08-31
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",female,25-34,"adn:The Memory Gold Laser  13_31 Aug-adf:Single",336.93273278,2361,8386,63,53,137,8,130773,2026-08-25,2026-08-31
