"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,45-54,"ปี่เซียะมงคล  11-20 Aug",0.06,2,2,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,65+,"ปี่เซียะมงคล  11-20 Aug",0.03,1,1,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,55-64,"ปี่เซียะมงคล  11-20 Aug",0.03,1,1,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,18-24,"ปี่เซียะมงคล  11-20 Aug",0.02,2,2,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,55-64,"ปี่เซียะมงคล  11-20 Aug",0.01,1,1,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,25-34,"Happy Mother Day -  1-12 Aug",0,0,0,,,1,,,2026-08-18,2026-08-24
"2600 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"ผ่อนทอง 0% Aug 2026",0,0,0,,,2,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"The Memory Custom Card   13-31 Aug",0,0,0,,,4,2,20509,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,35-44,"Happy Mother Day -  1-12 Aug",0,0,0,,,1,,,2026-08-18,2026-08-24
"2600 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"ผ่อนทอง 0% Aug 2026",0,0,0,,,7,1,17544,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"The Memory Custom Card   13-31 Aug",0,0,0,,,1,,,2026-08-18,2026-08-24
"2600 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"ผ่อนทอง 0% Aug 2026",0,0,0,,,1,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,18-24,"ปี่เซียะมงคล  11-20 Aug",0,1,1,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Traffic | Always On",Gold-Broad,male,35-44,"ผ่อนทอง 0% Aug 2026",0,0,0,,,2,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"The Memory Custom Card   13-31 Aug",0,0,0,,,1,,,2026-08-18,2026-08-24
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,65+,"Branding - เปลี่ยนโอากาสพิเศษ",0,0,0,,1,,,,2026-08-18,2026-08-24
