"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"ผ่อนทอง 0% June 2026",818.69357243,42226,79783,1090,1068,37,1,4581,2026-06-09,2026-06-15
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"ผ่อนทอง 0% June 2026",626.97273584,38558,64157,859,832,23,,,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"นาคครุฑเสริมบารมี  11- 20 Jun 26",615.16681963,9811,21275,148,118,55,1,3432,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"นาคครุฑเสริมบารมี  11- 20 Jun 26",534.09460299,8694,21114,107,78,50,6,215025,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",508.69746639,8610,11948,247,215,97,6,210333,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"นาคครุฑเสริมบารมี  11- 20 Jun 26",300.3082109,4664,8814,64,48,17,7,182830,2026-06-09,2026-06-15
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"ผ่อนทอง 0% June 2026",278.78121648,16159,28232,391,372,11,9,101181,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",276.95317625,5306,8107,130,113,93,2,16873,2026-06-09,2026-06-15
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",female,25-34,"Live | 10 June 2026",273.35701383,11629,12191,94,79,36,4,149038,2026-06-09,2026-06-15
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",female,35-44,"Live | 10 June 2026",232.76448734,7534,7889,90,77,20,1,35646,2026-06-09,2026-06-15
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",male,25-34,"Live | 10 June 2026",222.77386552,10194,10622,71,63,6,,,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"นาคครุฑเสริมบารมี  11- 20 Jun 26",221.58605851,4329,9186,54,41,20,1,33545,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",217.8246331,3046,4327,103,87,41,4,118800,2026-06-09,2026-06-15
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",female,45-54,"Live | 10 June 2026",196.57223472,5827,6099,61,51,3,,,2026-06-09,2026-06-15
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,35-44,"ผ่อนทอง 0% June 2026",189.4308266,11164,19251,263,256,16,1,68702,2026-06-09,2026-06-15
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",male,35-44,"Live | 10 June 2026",181.83131724,6210,6524,54,44,6,,,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,25-34,"นาคครุฑเสริมบารมี  11- 20 Jun 26",181.41496017,3906,8656,39,29,17,1,81720,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"นาคครุฑเสริมบารมี  11- 20 Jun 26",179.51,3596,6166,33,23,6,2,9348,2026-06-09,2026-06-15
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,45-54,"ผ่อนทอง 0% June 2026",171.36074775,8946,15991,242,250,10,1,4465,2026-06-09,2026-06-15
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"ผ่อนทอง 0% June 2026",143.18836926,4501,8690,345,323,189,15,405795,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"นาคครุฑเสริมบารมี  11- 20 Jun 26",137.17,3732,5769,39,34,15,,,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"นาคครุฑเสริมบารมี  11- 20 Jun 26",135.31,3384,5197,34,27,4,1,2525,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,45-54,"นาคครุฑเสริมบารมี  11- 20 Jun 26",129.69354603,2326,4768,24,16,4,,,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"นาคครุฑเสริมบารมี  11- 20 Jun 26",127.21,2643,4494,29,26,11,4,94077,2026-06-09,2026-06-15
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026-Broad",male,45-54,"Live | 10 June 2026",109.80683441,3603,3821,25,27,1,,,2026-06-09,2026-06-15
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"ผ่อนทอง 0% June 2026",103.03163107,5162,7724,199,181,130,6,71611,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,55-64,"นาคครุฑเสริมบารมี  11- 20 Jun 26",81.12221801,1193,1994,24,12,9,,,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",80.03,1601,2606,41,36,67,3,25821,2026-06-09,2026-06-15
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"ผ่อนทอง 0% June 2026",78.40363152,2436,4692,157,145,66,5,78008,2026-06-09,2026-06-15
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026 -Lookalike",female,35-44,"Live | 10 June 2026",76.88,2448,2696,20,22,40,1,65440,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",76.56,1791,2734,37,31,97,9,149974,2026-06-09,2026-06-15
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026 -Lookalike",female,25-34,"Live | 10 June 2026",71.82,2909,3285,19,20,29,8,204905,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",69.15829603,1288,1855,25,17,18,3,156221,2026-06-09,2026-06-15
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"ผ่อนทอง 0% June 2026",66.31461347,6124,7282,113,105,25,2,147543,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"นาคครุฑเสริมบารมี  11- 20 Jun 26",62.16,1351,2056,15,8,1,1,4486,2026-06-09,2026-06-15
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"นาคครุฑเสริมบารมี  11- 20 Jun 26",60.16,951,1623,16,10,4,,,2026-06-09,2026-06-15
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"ผ่อนทอง 0% June 2026",59.24,6418,7238,89,89,1,,,2026-06-09,2026-06-15
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,18-24,"ผ่อนทอง 0% June 2026",57.24024977,3951,6042,90,86,2,,,2026-06-09,2026-06-15
