"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,35-44,"Trust - ช่องทางชำระเงิน",0.02,2,2,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,65+,"นาคครุฑเสริมบารมี  1-10 Aug",0.02,2,2,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,unknown,35-44,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.01999235,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,unknown,18-24,"Branding - เปลี่ยนโอากาสพิเศษ",0.01000045,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,unknown,65+,"Happy Mother Day -  1-12 Aug",0.01000018,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,18-24,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.01,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,18-24,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.01,1,1,,,,,,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Retargeting",male,55-64,"Live - 4 Aug 2026",0.01,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,65+,"Trust - ช่องทางชำระเงิน",0.01,2,2,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,unknown,18-24,"Happy Mother Day -  1-12 Aug",0.01,1,3,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,18-24,"Service - ทองแท้ 96.5",0.01,1,1,,,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,25-34,"Service - ทองแท้ 96.5",0.01,1,1,,,,,,2026-08-04,2026-08-10
