"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,55-64,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.15,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,65+,"Trust - ช่องทางชำระเงิน",0.15,5,5,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,18-24,"ปี่เซียะมงคล  11-20 Aug",0.15,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,45-54,"นาคครุฑเสริมบารมี  1-10 Aug",0.15,4,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,18-24,"ปี่เซียะมงคล  11-20 Aug",0.14007208,5,10,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,18-24,"Branding - เปลี่ยนโอากาสพิเศษ",0.14,10,10,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,35-44,"Service - ทองแท้ 96.5",0.14,4,7,1,1,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,35-44,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.14,11,11,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,45-54,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.14,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,unknown,55-64,"Happy Mother Day -  1-12 Aug",0.14,2,14,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,unknown,18-24,"Happy Mother Day -  1-12 Aug",0.13000283,2,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Lookalike,female,18-24,"ผ่อนทอง 0% Aug 2026",0.13,5,5,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,65+,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.13,15,16,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,unknown,35-44,"Branding - เปลี่ยนโอากาสพิเศษ",0.13,6,7,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,65+,"พระประจำวันเกิด 1-31 Aug 26",0.13,10,13,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,female,18-24,"รวม 4 ไอเดียของขวัญวันแม่มาให้เลือก -  1-12 Aug",0.12,6,6,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,35-44,"Service - ทองแท้ 96.5",0.12,6,6,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,55-64,"Trust - ช่องทางชำระเงิน",0.12,4,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,35-44,"Trust - ช่องทางชำระเงิน",0.12,10,10,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,55-64,"ปี่เซียะมงคล  11-20 Aug",0.12,4,5,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,65+,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.11,5,5,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,55-64,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.11,4,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,25-34,"นาคครุฑเสริมบารมี  1-10 Aug",0.11,5,5,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,unknown,35-44,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.11,3,3,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,45-54,"The Memory Gold Laser  13-31 Aug",0.10003041,3,3,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,18-24,"Service - ทองแท้ 96.5",0.1,1,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,45-54,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.1,5,6,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,55-64,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.1,6,6,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,18-24,"พระประจำวันเกิด 1-31 Aug 26",0.1,7,7,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,25-34,"นาคครุฑเสริมบารมี  1-10 Aug",0.1,4,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,25-34,"ผ่อนทอง 0% Aug 2026",0.09999755,4,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,18-24,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.09,5,6,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,female,18-24,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.09,7,7,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,25-34,"The Memory Custom Card   13-31 Aug",0.09,3,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,65+,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.09,3,3,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,25-34,"The Memory Custom Card   13-31 Aug",0.09,4,5,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,55-64,"ผ่อนทอง 0% Aug 2026",0.09,2,2,1,1,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,18-24,"ปี่เซียะมงคล  11-20 Aug",0.08004119,3,3,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,25-34,"Service - ทองแท้ 96.5",0.08,4,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,55-64,"The Memory Custom Card   13-31 Aug",0.08,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,18-24,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.07,7,7,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,18-24,"นาคครุฑเสริมบารมี  1-10 Aug",0.07,5,5,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,65+,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.07,3,3,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,65+,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.07,6,7,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,55-64,"นาคครุฑเสริมบารมี  1-10 Aug",0.07,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,65+,"The Memory Gold Laser  13-31 Aug",0.06999768,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,25-34,"ปี่เซียะมงคล  11-20 Aug",0.06003089,3,3,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,55-64,"Service - ทองแท้ 96.5",0.06,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,male,18-24,"Branding - เปลี่ยนโอากาสพิเศษ",0.06,8,8,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,45-54,"The Memory Custom Card   13-31 Aug",0.06,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,25-34,"ปี่เซียะมงคล  11-20 Aug",0.06,3,4,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,18-24,"Trust - ช่องทางชำระเงิน",0.05,3,3,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,25-34,"Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.05,2,3,1,1,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"The Memory Custom Card   13-31 Aug",0.05,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,female,65+,"Lifestyle - ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ",0.05,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Lookalike,male,35-44,"Service - ทองแท้ 96.5",0.05,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,18-24,"The Memory Gold Laser  13-31 Aug",0.05,1,1,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,55-64,"The Memory Gold Laser  13-31 Aug",0.05,2,5,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,unknown,65+,"Happy Mother Day -  1-12 Aug",0.05,2,2,,,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,18-24,"Lifestyle - เลือกทองเหมือนเลือกสไตล์",0.04,3,3,,,,,,2026-08-11,2026-08-17
