"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,25-34,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",52.03886367,1086,1809,24,20,13,1,4839,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,male,45-54,"Test - Service - ทองแท้ 96.5",51.67089007,1725,2417,28,16,,,,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,male,18-24,"Test - Branding - เปลี่ยนโอากาสพิเศษ",50.65069986,1753,2850,29,24,,,,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,45-54,"Aurora Mid Year Gold Sale  25- 30 Jun 26",49.41648296,823,1043,27,23,7,,,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,55-64,"นาคครุฑเสริมบารมี  11- 20 Jun 26",49.29033472,829,1319,15,14,4,1,2578,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,male,45-54,"Test - Trust - ช่องทางชำระเงิน",49.28033378,1335,1809,14,10,,,,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,18-24,"Gems of The Day  21- 30 Jun 26",49.12012046,706,1619,15,12,5,,,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Aurora Mid Year Gold Sale  25- 30 Jun 26",48.81,909,986,12,11,1,,,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,male,45-54,"Test - Service - ซื้อทองออนไลน์อย่างมั่นใจ",47.45121678,1770,2347,17,13,,,,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,55-64,"ผ่อนทอง 0% June 2026",47.12910378,2163,3368,93,89,12,1,4494,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",46.91,904,1012,15,14,15,,,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,female,55-64,"Test - Trust - ช่องทางชำระเงิน",46.60031563,1355,1918,20,12,,,,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,18-24,"Gems of The Day  21- 30 Jun 26",46.4920904,1121,2052,6,4,2,3,50657,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,65+,"นาคครุฑเสริมบารมี  11- 20 Jun 26",45.54054058,687,1362,19,15,1,1,16708,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,male,45-54,"Test - Branding - มากกว่ามูลค่าทอง คือความสุข",44.4277239,1543,2036,25,24,,,,2026-06-01,2026-06-30
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",male,35-44,"Double Day 6.6 | 1-7June 2026",44.08162939,1770,1943,37,35,8,2,52940,2026-06-01,2026-06-30
