"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,65+,"Card customize 15-29 May 2026",151.58807036,5538,9972,127,123,,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,65+,"Card customize 15-29 May 2026",116.8385127,4203,7482,107,106,,,,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,55-64,"Card customize 15-29 May 2026-Conversion",106.60100955,703,2299,16,10,15,1,6191,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,65+,"Card customize 15-29 May 2026-Conversion",87.50903777,380,1501,20,14,11,1,6133,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,18-24,"Card customize 15-29 May 2026-Conversion",33.5734674,419,1453,6,2,9,1,6187,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,65+,"Card customize 15-29 May 2026-Conversion",28.80297472,213,798,10,4,1,,,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,35-44,"Card customize 15-29 May 2026-Conversion",21.85225686,145,682,2,2,7,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,25-34,"Card customize 15-29 May 2026",21.52972594,756,1497,17,10,,,,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,25-34,"Card customize 15-29 May 2026-Conversion",15.33158342,130,485,2,2,2,1,6187,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,35-44,"Card customize 15-29 May 2026",13.37982968,537,946,9,7,,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,25-34,"Card customize 15-29 May 2026",11.29942853,463,758,10,9,,,,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,45-54,"Card customize 15-29 May 2026-Conversion",10.05103805,48,223,1,1,3,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,35-44,"Card customize 15-29 May 2026",6.86965256,279,471,3,1,2,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,18-24,"Card customize 15-29 May 2026",5.38993139,211,380,12,7,,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,18-24,"Card customize 15-29 May 2026",5.13974006,258,384,,,,,,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,18-24,"Card customize 15-29 May 2026-Conversion",4.06041935,14,106,2,3,,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,45-54,"Card customize 15-29 May 2026",3.52982148,133,201,2,2,,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,45-54,"Card customize 15-29 May 2026",3.44995608,156,235,3,2,,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,55-64,"Card customize 15-29 May 2026",1.91997556,64,118,1,1,,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,55-64,"Card customize 15-29 May 2026",1.5699206,75,113,2,1,,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,65+,"Card customize 15-29 May 2026",1.41992819,59,100,5,4,,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,65+,"Card customize 15-29 May 2026",0.86998893,31,59,,,,,,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,65+,"Card customize 15-29 May 2026-Conversion",0.77007953,6,27,,,,,,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,55-64,"Card customize 15-29 May 2026-Conversion",0.59006094,7,19,,,,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"Card customize 15-29 May 2026",0,0,0,,,9,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"Card customize 15-29 May 2026",0,0,0,,,3,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"Card customize 15-29 May 2026",0,0,0,,,2,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,Unknown,"Card customize 15-29 May 2026",0,0,0,,1,,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,Unknown,"Card customize 15-29 May 2026",0,0,0,,1,,,,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,Unknown,"Card customize 15-29 May 2026-Conversion",0,0,0,,1,,,,2026-05-19,2026-05-25
