"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"Card customize 15-29 May 2026",45.04640362,1013,1875,59,56,34,2,44185,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,55-64,"Card customize 15-29 May 2026-Conversion",41.01268917,356,623,24,15,7,3,209770,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,55-64,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",37.50916156,483,1042,11,6,5,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,25-34,"Card customize 15-29 May 2026",29.4693341,689,1237,21,15,1,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"Card customize 15-29 May 2026",28.3677352,473,892,22,23,9,1,27581,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,18-24,"Card customize 15-29 May 2026",21.69826767,928,1140,17,16,2,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,18-24,"Card customize 15-29 May 2026",20.30837864,953,1243,17,14,2,2,17940,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,65+,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",18.62958358,268,584,14,12,8,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"Card customize 15-29 May 2026",18.27854069,828,1095,5,6,2,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,55-64,"Card customize 15-29 May 2026-Conversion",12.54082229,163,317,7,6,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,35-44,"Card customize 15-29 May 2026",11.06974986,481,781,6,4,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,18-24,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",11.03975323,200,481,3,1,2,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,55-64,"Card customize 15-29 May 2026",10.39916976,226,315,8,9,2,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,35-44,"Card customize 15-29 May 2026",9.92920728,344,491,15,14,4,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,65+,"Card customize 15-29 May 2026-Conversion",9.50062295,103,233,12,10,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,35-44,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",8.26981515,91,268,3,2,1,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,45-54,"Card customize 15-29 May 2026",8.03935816,188,285,7,7,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,18-24,"Card customize 15-29 May 2026-Conversion",6.61043344,122,277,5,1,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,65+,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",6.31985873,135,276,,,,2,34516,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,55-64,"Card customize 15-29 May 2026",6.21950345,80,110,15,12,1,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,25-34,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",5.83986946,72,179,6,2,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,18-24,"Card customize 15-29 May 2026",4.72989312,186,355,4,1,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,35-44,"Card customize 15-29 May 2026-Conversion",4.34028459,65,128,1,1,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,65+,"Card customize 15-29 May 2026",4.26965912,134,171,1,1,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,45-54,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",3.30992601,27,78,1,1,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,25-34,"Card customize 15-29 May 2026-Conversion",2.9601941,44,99,,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,45-54,"Card customize 15-29 May 2026",2.90993425,135,205,1,1,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,65+,"Card customize 15-29 May 2026",2.68978526,84,95,5,6,2,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,65+,"Card customize 15-29 May 2026-Conversion",2.61017115,42,59,5,2,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,45-54,"Card customize 15-29 May 2026-Conversion",1.6501082,21,32,,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,55-64,"Card customize 15-29 May 2026",1.50996588,58,101,,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,65+,"Card customize 15-29 May 2026",0.98997763,35,62,1,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,65+,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0.58998681,3,23,,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,25-34,"Card customize 15-29 May 2026",0.52995769,16,23,,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,45-54,"Card customize 15-29 May 2026",0.26997845,3,9,,,2,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,55-64,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0.20999531,5,17,1,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,18-24,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0.18999575,6,8,,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,35-44,"Card customize 15-29 May 2026",0.17998563,8,9,,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,18-24,"Card customize 15-29 May 2026",0.15998723,6,7,,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,65+,"Card customize 15-29 May 2026-Conversion",0.15000984,4,7,1,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,18-24,"Card customize 15-29 May 2026-Conversion",0.12000787,4,6,,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,55-64,"Card customize 15-29 May 2026-Conversion",0.10000656,3,4,,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,65+,"Card customize 15-29 May 2026",0.04999601,2,3,,,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,Unknown,"Card customize 15-29 May 2026",0,0,0,,1,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,Unknown,"Card customize 15-29 May 2026-Conversion",0,0,0,,2,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,Unknown,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,4,,,,2026-05-26,2026-05-31
