"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"ผ่อนทอง 0% June 2026",1024.28865994,45927,92477,1125,1083,17,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"นาคครุฑเสริมบารมี  11- 20 Jun 26",774.05,10036,21264,143,114,35,4,159295,2026-06-16,2026-06-22
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"ผ่อนทอง 0% June 2026",710.37520002,38448,66050,824,795,15,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"นาคครุฑเสริมบารมี  11- 20 Jun 26",620.32,8062,19358,128,104,45,3,5820,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"นาคครุฑเสริมบารมี  11- 20 Jun 26",411.08,5164,9706,106,81,18,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"นาคครุฑเสริมบารมี  11- 20 Jun 26",335.61,4836,9885,69,50,11,2,70119,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"นาคครุฑเสริมบารมี  11- 20 Jun 26",310.49412974,4204,8157,61,45,15,1,33415,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"นาคครุฑเสริมบารมี  11- 20 Jun 26",290.15299866,4999,9082,56,42,16,2,45553,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,25-34,"นาคครุฑเสริมบารมี  11- 20 Jun 26",232.38,4189,8277,41,29,7,1,4567,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"นาคครุฑเสริมบารมี  11- 20 Jun 26",211.24218313,4435,8024,46,28,21,5,142488,2026-06-16,2026-06-22
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"ผ่อนทอง 0% June 2026",197.51588495,11204,18687,247,241,1,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,45-54,"นาคครุฑเสริมบารมี  11- 20 Jun 26",196.53,2780,5283,30,20,9,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"นาคครุฑเสริมบารมี  11- 20 Jun 26",186.0524746,2912,5613,42,32,13,1,2448,2026-06-16,2026-06-22
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,35-44,"ผ่อนทอง 0% June 2026",168.22649516,8964,15804,201,193,5,,,2026-06-16,2026-06-22
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,45-54,"ผ่อนทอง 0% June 2026",167.76650475,8052,14795,188,181,3,1,33441,2026-06-16,2026-06-22
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Retargeting",female,35-44,"Mid Month  | 15-17June 2026",163.06,4666,6343,56,49,1,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"นาคครุฑเสริมบารมี  11- 20 Jun 26",143.88148698,2481,4111,51,36,4,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Gems of The Day  21- 30 Jun 26",110.66,1867,2632,16,10,,,,2026-06-16,2026-06-22
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month  -Broad",female,65+,"Mid Month  | 15-17June 2026",110.22702318,2705,3846,51,45,1,,,2026-06-16,2026-06-22
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month  -Broad",female,45-54,"Mid Month  | 15-17June 2026",108.87705964,2949,4228,66,48,10,,,2026-06-16,2026-06-22
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month  -Broad",female,55-64,"Mid Month  | 15-17June 2026",108.58706747,3082,4364,62,46,2,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"นาคครุฑเสริมบารมี  11- 20 Jun 26",104.1913858,1275,2243,20,20,4,3,9804,2026-06-16,2026-06-22
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month  -Broad",female,35-44,"Mid Month  | 15-17June 2026",103.23721195,2782,4066,61,39,33,2,101460,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,55-64,"นาคครุฑเสริมบารมี  11- 20 Jun 26",103.21,1328,2071,25,19,2,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,35-44,"นาคครุฑเสริมบารมี  11- 20 Jun 26",101.8410525,2094,3518,22,15,2,,,2026-06-16,2026-06-22
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Retargeting",female,25-34,"Mid Month  | 15-17June 2026",85.8,2980,4050,37,31,1,,,2026-06-16,2026-06-22
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month  -Broad",female,25-34,"Mid Month  | 15-17June 2026",85.10770156,3035,4252,61,45,16,,,2026-06-16,2026-06-22
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"ผ่อนทอง 0% June 2026",84.71,3730,6465,191,181,62,6,96278,2026-06-16,2026-06-22
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Retargeting",female,45-54,"Mid Month  | 15-17June 2026",73.47,1808,2360,29,24,3,,,2026-06-16,2026-06-22
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"ผ่อนทอง 0% June 2026",70.02,4534,6163,124,112,41,2,136050,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,25-34,"นาคครุฑเสริมบารมี  11- 20 Jun 26",68.97071279,1709,2830,14,8,4,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"Gems of The Day  21- 30 Jun 26",65.18,1288,1692,15,14,1,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"นาคครุฑเสริมบารมี  11- 20 Jun 26",62.15082664,964,1866,6,5,1,,,2026-06-16,2026-06-22
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"ผ่อนทอง 0% June 2026",59.91,6156,6750,89,82,5,,,2026-06-16,2026-06-22
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"ผ่อนทอง 0% June 2026",58.56,5217,6084,85,84,1,,,2026-06-16,2026-06-22
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,45-54,"นาคครุฑเสริมบารมี  11- 20 Jun 26",58.02059963,1157,1961,15,12,2,,,2026-06-16,2026-06-22
