"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,65+,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.14,1,1,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",unknown,18-24,"Double Day 6.6 | 1-7June 2026",0.13001372,5,7,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,55-64,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.12,2,3,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,18-24,"ผ่อนทอง 0% June 2026",0.12,11,11,1,1,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.11,6,6,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,65+,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.08994164,2,2,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.08,3,3,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,18-24,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.08,2,4,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.08,1,1,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,35-44,"ผ่อนทอง 0% June 2026",0.07,7,7,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,55-64,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.0699939,2,2,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,45-54,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.06995461,3,4,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",unknown,18-24,"Double Day 6.6 | 1-7June 2026",0.06000222,4,4,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.06,2,2,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.06,3,3,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,18-24,"ผ่อนทอง 0% June 2026",0.05,3,3,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,65+,"ผ่อนทอง 0% June 2026",0.05,2,2,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,65+,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.04000244,1,2,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,18-24,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.04,2,2,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,55-64,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.04,4,4,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,65+,"ผ่อนทอง 0% June 2026",0.04,5,5,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",unknown,65+,"Double Day 6.6 | 1-7June 2026",0.03000317,1,2,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,18-24,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.03000183,1,1,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,65+,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.0300009,2,2,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,18-24,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",0.02999739,2,3,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,25-34,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.02,1,1,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,65+,"ผ่อนทอง 0% June 2026",0.02,4,4,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,35-44,"ผ่อนทอง 0% June 2026",0.02,1,1,1,1,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,45-54,"ผ่อนทอง 0% June 2026",0.02,2,2,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,55-64,"ผ่อนทอง 0% June 2026",0.02,1,1,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",unknown,65+,"Double Day 6.6 | 1-7June 2026",0.01000037,1,1,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,55-64,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.01,1,1,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Retargeting",unknown,18-24,"Double Day 6.6 | 1-7June 2026",0.01,2,2,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,25-34,"ผ่อนทอง 0% June 2026",0.01,1,1,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,45-54,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.01,1,1,,,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"Card customize 15-29 May 2026",0,0,0,,,2,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"Card customize 15-29 May 2026",0,0,0,,,5,1,8920,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,4,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"Card customize 15-29 May 2026",0,0,0,,,1,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,35-44,"Card customize 15-29 May 2026",0,0,0,,,1,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,29,1,35223,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,45-54,"Card customize 15-29 May 2026",0,0,0,,,1,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,9,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,25-34,"Card customize 15-29 May 2026",0,0,0,,,4,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,1,3,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,21,,,2026-06-02,2026-06-08
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,1,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",unknown,Unknown,"Double Day 6.6 | 1-7June 2026",0,0,0,,2,,,,2026-06-02,2026-06-08
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,Unknown,"ผ่อนทอง 0% June 2026",0,0,0,,1,,,,2026-06-02,2026-06-08
