"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ผ่อนทอง 0% July 2026",1863.26806332,20217,44468,498,417,80,2,68596,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"ผ่อนทอง 0% July 2026",1376.00952962,86718,144525,1841,1757,7,1,33850,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"ผ่อนทอง 0% July 2026",1339.04016774,14809,35062,298,248,63,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Retargeting,female,35-44,"Test - Service - ทองแท้ 96.5",1303.12754654,45425,101041,1354,1314,5,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"ผ่อนทอง 0% July 2026",1225.02177581,83989,122933,1480,1419,16,1,1163,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"พระประจำวันเกิดล้อมพลอย - 1 - 10 July 2026",1183.30506298,14529,22311,133,115,36,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"ผ่อนทอง 0% July 2026",1116.19339481,61656,101421,1359,1313,55,5,164478,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,35-44,"ผ่อนทอง 0% July 2026",1103.44358448,64482,111575,1424,1376,9,,,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"พระประจำวันเกิดล้อมพลอย - 1 - 10 July 2026",1037.26839429,14662,24259,198,165,28,1,1449,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Retargeting,female,25-34,"Test - Service - ทองแท้ 96.5",854.24528098,31291,64343,941,911,3,,,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"ผ่อนทอง 0% July 2026",821.09763237,11592,21634,254,214,56,2,137777,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"12 พลังปีเกิด July 2026",737.2850252,51837,73308,903,853,6,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"ผ่อนทอง 0% July 2026",712.8093958,32297,57456,970,921,27,1,3313,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"12 พลังปีเกิด July 2026",710.98562497,34148,57982,744,727,,,,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"ผ่อนทอง 0% July 2026",673.59626129,10010,20409,153,122,28,3,200943,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"12 พลังปีเกิด July 2026",645.71440107,39953,58984,753,738,11,1,8404,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"12 พลังปีเกิด July 2026",634.92432752,46119,66655,785,740,3,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic Campaign  | Live","Live - Retargeting",female,35-44,"Live - 7 July 2026",634.4309126,13497,13747,65,47,11,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,45-54,"ผ่อนทอง 0% July 2026",629.41063649,31058,56511,817,778,13,1,32444,2026-07-07,2026-07-13
"4040 | ONN | website Traffic Campaign  | Live","Live - Retargeting",female,25-34,"Live - 7 July 2026",604.00134846,18933,19710,60,42,,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,25-34,"Live - 7 July 2026",589.66038208,21829,22254,83,43,,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,25-34,"Live - 7 July 2026",586.13031992,19076,19781,104,65,7,1,8768,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"Custom Card - 1 - 15 July 2026",582.63920459,4482,10937,127,115,27,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"12 พลังปีเกิด July 2026",538.21911804,28010,44487,631,618,1,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,35-44,"12 พลังปีเกิด July 2026",529.43360852,34758,53383,618,599,,,,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"ผ่อนทอง 0% July 2026",520.20783503,5385,10533,148,131,26,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,18-24,"ผ่อนทอง 0% July 2026",519.53227111,30062,52488,738,705,1,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,55-64,"ผ่อนทอง 0% July 2026",517.75229759,20980,39985,615,597,11,1,17348,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"พระประจำวันเกิดล้อมพลอย - 1 - 10 July 2026",500.07337118,7301,9982,70,60,8,1,3268,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"Custom Card - 1 - 15 July 2026",477.751148,3828,8255,104,91,21,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,18-24,"ผ่อนทอง 0% July 2026",471.72298235,31093,48071,722,679,1,,,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"ผ่อนทอง 0% July 2026",466.81433919,6667,13602,122,109,33,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,25-34,"Live - 8 July 2026",461.78154516,16250,18568,124,90,7,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,55-64,"ผ่อนทอง 0% July 2026",456.7632049,18218,37083,546,523,2,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,35-44,"Live - 7 July 2026",448.77790158,10525,11013,61,35,11,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,25-34,"Live - 8 July 2026",437.19146288,16366,18648,134,111,5,1,2338,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Retargeting,male,35-44,"Test - Service - ทองแท้ 96.5",417.35280883,14676,32881,436,423,,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,35-44,"Live - 7 July 2026",409.80721542,12123,12724,62,40,1,,,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"ผ่อนทอง 0% July 2026",402.71374335,5231,9193,132,110,28,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,65+,"Live - 8 July 2026",400.39133974,4535,4586,187,109,,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Retargeting,female,35-44,"Test - Branding - มากกว่ามูลค่าทอง คือความสุข",394.52226752,21839,31092,382,369,2,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,45-54,"Live - 7 July 2026",388.04683229,7629,7934,71,42,,,,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"พระประจำวันเกิดล้อมพลอย - 1 - 10 July 2026",377.63009724,6144,9211,69,58,5,,,2026-07-07,2026-07-13
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"12 พลังปีเกิด July 2026",365.88249379,18887,30546,356,345,1,,,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"ผ่อนทอง 0% July 2026",361.56544566,4410,9137,92,76,16,,,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"พระประจำวันเกิดล้อมพลอย - 1 - 10 July 2026",356.33952796,4324,5460,52,50,11,,,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"พระประจำวันเกิดล้อมพลอย - 1 - 10 July 2026",356.22065919,4584,6244,66,55,3,,,2026-07-07,2026-07-13
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"พระประจำวันเกิดล้อมพลอย - 1 - 10 July 2026",355.15484445,6777,8803,78,65,4,1,1499,2026-07-07,2026-07-13
