"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,18-24,"ผ่อนทอง 0% July 2026",0,0,0,,,1,,,2026-08-01,2026-08-03
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",0,0,0,,,1,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,female,25-34,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,2,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,female,25-34,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,1,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,25-34,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,18,2,9280,2026-08-01,2026-08-03
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"ผ่อนทอง 0% July 2026",0,0,0,,,1,,,2026-08-01,2026-08-03
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",0,0,0,,,1,,,2026-08-01,2026-08-03
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",0,0,0,,1,4,,,2026-08-01,2026-08-03
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"Card customize 16-31 July 2026",0,0,0,,,1,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,female,35-44,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,9,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,female,35-44,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,3,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,35-44,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,17,1,16467,2026-08-01,2026-08-03
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"ผ่อนทอง 0% July 2026",0,0,0,,,2,,,2026-08-01,2026-08-03
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",0,0,0,,,1,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,45-54,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,6,1,98506,2026-08-01,2026-08-03
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,55-64,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",0,0,0,,,2,,,2026-08-01,2026-08-03
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,female,65+,"Test - Branding - เปลี่ยนโอากาสพิเศษ",0,0,0,,1,,,,2026-08-01,2026-08-03
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,25-34,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",0,0,0,,,1,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,male,25-34,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,1,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,male,25-34,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,5,,,2026-08-01,2026-08-03
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,35-44,"ผ่อนทอง 0% July 2026",0,0,0,,,1,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,male,35-44,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,2,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,male,35-44,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,3,,,2026-08-01,2026-08-03
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,male,55-64,"MID YEAR SUPER DEAL -  26-31 July",0,0,0,,,1,,,2026-08-01,2026-08-03
